Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
"so what you just bipolared and what you cut was nearly the same spot, you want to give yourself a little bit more wiggle room, right?",[bipolar],[give yourself a little bit more wiggle room],[NONE],"('[bipolar]', '[give yourself a little bit more wiggle room]', '[NONE]')","IAT Triplet:
instrument: [bipolar], action: [give yourself a little bit more wiggle room], tissue: [NONE]

Feedback:
",Adjust your bipolar instrument for better maneuverability.
"so whatever you burn, you want to cut just above that","[electrocautery, scissors]",[cut just above],[NONE],"('[electrocautery, scissors]', '[cut just above]', '[NONE]')","IAT Triplet:
instrument: [electrocautery, scissors], action: [cut just above], tissue: [NONE]

Feedback:
",Use electrocautery and scissors to cut just above the target area.
"be gentle, you don't rip that off",[NONE],[be gentle],[NONE],"('[NONE]', '[be gentle]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [be gentle], tissue: [NONE]

Feedback:
",Be gentle with your movements.
"alright, do you remember how I hold the SV's up?",[NONE],[NONE],[Seminal Vesicles],"('[NONE]', '[NONE]', '[Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [Seminal Vesicles]

Feedback:
",Focus on the seminal vesicles for precise dissection.
"hold on, so grab just the tip of the SV there... you got to leave room for the other SV",[NONE],"[hold on, grab, leave room]","[Seminal Vesicles, Seminal Vesicles]","('[NONE]', '[hold on, grab, leave room]', '[Seminal Vesicles, Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [hold on, grab, leave room], tissue: [Seminal Vesicles, Seminal Vesicles]

Feedback:
",Hold the seminal vesicles securely.
"so if you think you're in the right spot, the one thing to do is extend the sides, open that up, because you don't want to be in a hole... so just open it up as wide as it will go, it'll make the distal part easier",[NONE],"[extend, open, open]",[NONE],"('[NONE]', '[extend, open, open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [extend, open, open], tissue: [NONE]

Feedback:
",Extend and open carefully.
"so generally, I like to extend distally with the left hand and just spread up and down",[left hand],"[extend distally, spread up and down]",[NONE],"('[left hand]', '[extend distally, spread up and down]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [extend distally, spread up and down], tissue: [NONE]

Feedback:
","Extend distally and spread carefully, ensuring no unintended contact with surrounding structures."
"uh if anything, I would want to stay short of how far you want to go distally, because you don't want to get to the rectourethralis muscle",[NONE],[stay short of how far you want to go distally],[rectourethralis muscle],"('[NONE]', '[stay short of how far you want to go distally]', '[rectourethralis muscle]')","IAT Triplet:
instrument: [NONE], action: [stay short of how far you want to go distally], tissue: [rectourethralis muscle]

Feedback:
",Stay short of your distal target on the rectourethralis muscle.
so I would just stop short of where you think you probably would want to be,[NONE],[stop short],[NONE],"('[NONE]', '[stop short]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop short], tissue: [NONE]

Feedback:
",Pause and reassess your next move.
"so if you could imagine the prostate running like that, right?",[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for precise dissection.
so you don't want to put your first clips too low,[clips],[avoid placing too low],[NONE],"('[clips]', '[avoid placing too low]', '[NONE]')","IAT Triplet:
instrument: [clips], action: [avoid placing too low], tissue: [NONE]

Feedback:
",Avoid placing clips too low.
so I would stay on the slightly higher side and you can take that lateral piece first with a clip,[clip],"[stay on the slightly higher side, take that lateral piece first]",[NONE],"('[clip]', '[stay on the slightly higher side, take that lateral piece first]', '[NONE]')","IAT Triplet:
instrument: [clip], action: [stay on the slightly higher side, take that lateral piece first], tissue: [NONE]

Feedback:
",Stay on the slightly higher side and take that lateral piece first.
"yeah, take it there just so you can start narrowing yourself down",[NONE],"[take, start narrowing]",[NONE],"('[NONE]', '[take, start narrowing]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take, start narrowing], tissue: [NONE]

Feedback:
","Begin narrowing carefully, ensuring precision and control."
take that away,[NONE],[take away],[NONE],"('[NONE]', '[take away]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take away], tissue: [NONE]

Feedback:
",Clarify what needs to be taken away.
"just be gentle with that, don't retract too much... you're going to tear it off",[NONE],"[be gentle, don't retract too much]",[NONE],"('[NONE]', ""[be gentle, don't retract too much]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [be gentle, don't retract too much], tissue: [NONE]

Feedback:
",Be gentle and avoid excessive retraction.
"so find if the thing there you can buzz... if not, because it's pretty low",[NONE],[find],[NONE],"('[NONE]', '[find]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [find], tissue: [NONE]

Feedback:
",Identify the target area before proceeding.
"see what's bleeding first, don't just randomly...",[retractor],"[see, don't randomly]",[NONE],"('[retractor]', ""[see, don't randomly]"", '[NONE]')","IAT Triplet:
instrument: [retractor], action: [see, don't randomly], tissue: [NONE]

Feedback:
",Use the retractor to improve your view systematically.
"so drop the lateral stuff open, you can cut that right there... incise that, just cut it",[NONE],"[drop, cut, incise, cut]",[lateral structure],"('[NONE]', '[drop, cut, incise, cut]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [drop, cut, incise, cut], tissue: [lateral structure]

Feedback:
",Drop the instrument from the lateral structure.
"I would... kind of came down low again, if you can, I would aim back up towards the prostate",[NONE],[Aim back up],[prostate],"('[NONE]', '[Aim back up]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [Aim back up], tissue: [prostate]

Feedback:
",Aim back up to reposition near the prostate.
"I was just trying to get down below the bleeder ooze but then I shifted down, so if anything come closer to the prostate again",[NONE],[come closer],"[vein, prostate]","('[NONE]', '[come closer]', '[vein, prostate]')","IAT Triplet:
instrument: [NONE], action: [come closer], tissue: [vein, prostate]

Feedback:
",Come closer to the vein and prostate.
"just don't rip off the clip, yeah?",[retractor],[don't rip off],[NONE],"('[retractor]', ""[don't rip off]"", '[NONE]')","IAT Triplet:
instrument: [retractor], action: [don't rip off], tissue: [NONE]

Feedback:
",Ensure the retractor is positioned securely without excessive force.
"don't buzz blindly, see what's actually bleeding, becaues you could have maybe clipped that on the next clip",[NONE],"[don't buzz blindly, see]",[NONE],"('[NONE]', ""[don't buzz blindly, see]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [don't buzz blindly, see], tissue: [NONE]

Feedback:
",Ensure clear visualization before proceeding.
"just open up the lateral stuff and see if you can just apply a clip, if you buzz it, you compromise the integrity of the vessel and then it's a different problem",[NONE],"[open, apply]","[lateral structure, vessel]","('[NONE]', '[open, apply]', '[lateral structure, vessel]')","IAT Triplet:
instrument: [NONE], action: [open, apply], tissue: [lateral structure, vessel]

Feedback:
",Open and apply to the lateral structure vessel carefully.
"so your vector is not quite right, you're pulling it towards you... I want you to pull it away from the prostate, okay?",[NONE],[pull away],[prostate],"('[NONE]', '[pull away]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [pull away], tissue: [prostate]

Feedback:
",Pull away from the prostate carefully.
slice... good,[NONE],[slice],[NONE],"('[NONE]', '[slice]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [slice], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the slice.
"stay close, stay close",[NONE],[stay close],[NONE],"('[NONE]', '[stay close]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay close], tissue: [NONE]

Feedback:
",Maintain proximity to the surgical field.
"no, just stay where you are",[NONE],[stay],[NONE],"('[NONE]', '[stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [NONE]

Feedback:
",Maintain your current position.
"you can open that up though, yeah that thing",[electrocautery],[open],[NONE],"('[electrocautery]', '[open]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [open], tissue: [NONE]

Feedback:
","Open the electrocautery carefully, ensuring no contact with any tissue."
"open that, yes",[NONE],[open],[NONE],"('[NONE]', '[open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open], tissue: [NONE]

Feedback:
",Specify the instrument and tissue for the open action.
so retraction's not wonderful,[electrocautery],[NONE],[NONE],"('[electrocautery]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the electrocautery is ready for use when needed.
so that's not perpendicular to your...,[electrocautery],[NONE],[NONE],"('[electrocautery]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the electrocautery is ready for use.
"just be careful, you're on the verge of tear, if not already torn; this is your neurovascular bundle",[NONE],[NONE],[neurovascular bundle],"('[NONE]', '[NONE]', '[neurovascular bundle]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [neurovascular bundle]

Feedback:
",Focus on preserving the neurovascular bundle.
"okay, clear it up a little bit on the medial aspect",[NONE],[clear up],[NONE],"('[NONE]', '[clear up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [clear up], tissue: [NONE]

Feedback:
",Clarify the field for better visibility.
"clip there, yeah that's fine",[NONE],[clip],[NONE],"('[NONE]', '[clip]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [clip], tissue: [NONE]

Feedback:
",Ensure the clip is secure and properly positioned.
"and open up, that lateral thing can be opened up, and you can actually buzz that little thing here",[NONE],"[open up, buzz]",[lateral structure],"('[NONE]', '[open up, buzz]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [open up, buzz], tissue: [lateral structure]

Feedback:
",Open up and buzz the lateral structure carefully.
take that first,[NONE],[take first],[NONE],"('[NONE]', '[take first]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take first], tissue: [NONE]

Feedback:
",Proceed with the next step in the procedure.
"yeah, you actually have an open... I don't know if you can see it.. there's an open sinus there, so if you can put a clip that will encompass...",[NONE],[put],[NONE],"('[NONE]', '[put]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [put], tissue: [NONE]

Feedback:
",Specify the instrument and tissue for precise guidance.
"watch your scissors, you're in his way",[NONE],"[watch, move]",[NONE],"('[NONE]', '[watch, move]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [watch, move], tissue: [NONE]

Feedback:
",Watch carefully and move with precision.
"sure, we're going to have to sow it anyway",[NONE],[sow it],[NONE],"('[NONE]', '[sow it]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sow it], tissue: [NONE]

Feedback:
",Clarify the action and tissue before proceeding.
go,[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain awareness of the surgical field.
"you can, yeah","[needle driver, right hand, DVC stitch]",[NONE],[NONE],"('[needle driver, right hand, DVC stitch]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [needle driver, right hand, DVC stitch], action: [NONE], tissue: [NONE]

Feedback:
",Position the needle driver for the next step.
"hold on, what are you doing?",[NONE],[hold on],[NONE],"('[NONE]', '[hold on]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [hold on], tissue: [NONE]

Feedback:
",Maintain current position and await further instructions.
"alright, I think you are almost done there",[bipolar],[NONE],[NONE],"('[bipolar]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [bipolar], action: [NONE], tissue: [NONE]

Feedback:
",Ensure the bipolar is ready for use when needed.
so you can take that piece there probably... just cut that,[bipolar],[cut],[NONE],"('[bipolar]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [bipolar], action: [cut], tissue: [NONE]

Feedback:
",Use the bipolar to cut only when tissue is present.
the lateral... lateral stuff... lateral,[NONE],[NONE],[lateral structure],"('[NONE]', '[NONE]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [lateral structure]

Feedback:
",Identify and assess the lateral structure carefully.
"okay, I think you're done here, and then I would go anterior and then come back",[NONE],"[go anterior, come back]",[anterior structure],"('[NONE]', '[go anterior, come back]', '[anterior structure]')","IAT Triplet:
instrument: [NONE], action: [go anterior, come back], tissue: [anterior structure]

Feedback:
",Go anterior and come back on the anterior structure.
take your lateral stuff,[NONE],[take],[lateral structure],"('[NONE]', '[take]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [take], tissue: [lateral structure]

Feedback:
",Take the lateral structure carefully.
